defined_class	defined_class_label	cellular_component	cellular_component_label
DDPHENO:0000203	increased number of microtubule-organizing centers	GO:0005815	microtubule organizing center
DDPHENO:0000272	increased number of mitochondria	GO:0005739	mitochondrium
DDPHENO:0000501	increased number of pinosomes	GO:0044352	pinosome
DDPHENO:0000532	increased number of contractile vacuoles	GO:0000331	contractile vacuole
DDPHENO:0001191	increased number of autophagosomes	GO:0005776	autophagosome
DDPHENO:0001426	increased number of centrosomes	GO:0005813	centrosome
