defined_class	defined_class_label	molecular_function	molecular_function_label
DDPHENO:0000152	increased chemorepellant activity	GO:0045499	chemorepellant activity
DDPHENO:0000297	increased protein binding	GO:0005515	protein binding
DDPHENO:0000333	increased folic acid binding	GO:0005542	folic acid binding
DDPHENO:0000348	increased protein kinase activity	GO:0004672	protein kinase activity
DDPHENO:0000726	increased protein tyrosine kinase activity	GO:0004713	protein tyrosine kinase activity
DDPHENO:0000750	increased phosphatase activity	GO:0016791	phosphatase activity
DDPHENO:0000754	increased protein tyrosine phosphatase activity	GO:0004725	protein tyrosine phosphatase activity
DDPHENO:0000793	increased protein kinase regulator activity	GO:0019887	protein kinase regulator activity
DDPHENO:0000800	increased GTPase activator activity	GO:0005096	GTPase activator activity
DDPHENO:0001172	increased guanyl-nucleotide exchange factor activity	GO:0005085	guanyl-nucleotide exchange factor activity
DDPHENO:0001256	increased catalytic activity	GO:0003824	catalytic activity
DDPHENO:0001260	increased cAMP binding	GO:0030552	cAMP binding
DDPHENO:0001280	increased 3',5'-cyclic-AMP phosphodiesterase activity	GO:0004115	3',5'-cyclic-AMP phosphodiesterase activity
DDPHENO:0001281	increased 3',5'-cyclic-GMP phosphodiesterase activity	GO:0047555	3',5'-cyclic-GMP phosphodiesterase activity
DDPHENO:0001282	increased adenylate cyclase activity	GO:0004016	adenylate cyclase activity
DDPHENO:0001287	increased guanylyl cyclase activity	GO:0004383	guanylyl cyclase activity
DDPHENO:0001319	increased peptidyl-proline 4-dioxygenase activity	GO:0031545	peptidyl-proline 4-dioxygenase activity
DDPHENO:0001334	increased catalase activity	GO:0004096	catalase activity
DDPHENO:0001385	increased cytochrome C oxidase activity	GO:0004129	cytochrome-c oxidase activity
DDPHENO:0001436	increased histone deacetylase activity	GO:0004407	histone deacetylase activity
